Strike,T,Last,Volm
6100,339,453.8901367,3
5800,373,688.5600586,250
5925,373,600,906
6000,373,542,706
6025,373,533.1000977,900
6050,373,515.5200195,60
6100,373,490,110
6200,373,425.2800293,217
6225,373,405.3000488,4
6250,373,399.6999512,5
6000,465,621,11
6100,465,552.7399902,150
6000,556,695,459
6075,556,642.1999512,1
6100,556,626.3500977,51
6200,556,565.4699707,152
5800,920,1070,125
5000,1284,1815.120117,4
5300,1284,1615.199951,1
6000,1284,1182.870117,3
6000,1655,1404.680176,2
6500,1655,1130.48999,1
7000,1655,893.6799316,1
6000,2019,1640.5,1
