Date,Last_Price
1969/1/15,14.7453
1969/1/16,14.9364
1969/1/17,14.6856
1969/1/20,14.3275
1969/1/21,14.4707
1969/1/22,14.4707
1969/1/23,14.3513
1969/1/24,14.3155
1969/1/27,14.3155
1969/1/28,14.3155
1969/1/29,14.1484
1969/1/30,14.1603
1969/1/31,14.1484
1969/2/3,14.0827
1969/2/4,14.1484
1969/2/5,14.1722
1969/2/6,14.1961
1969/2/7,14.2319
1969/2/11,14.4707
1969/2/12,14.5901
1969/2/13,14.817
1969/2/14,14.7453
1969/2/17,14.3275
1969/2/18,14.3275
1969/2/19,14.1125
1969/2/20,14.1125
1969/2/24,14.1722
1969/2/25,14.1484
1969/2/26,14.2558
1969/2/27,14.1364
1969/2/28,14.0111
1969/3/3,14.1364
1969/3/4,14.22
1969/3/5,14.4827
1969/3/6,14.3752
1969/3/7,14.3155
1969/3/10,14.4946
1969/3/11,14.4707
1969/3/12,14.3096
1969/3/13,14.0767
1969/3/14,14.1245
1969/3/17,14.411
1969/3/18,14.3215
1969/3/19,14.4946
1969/3/20,14.5901
1969/3/21,14.5901
1969/3/24,14.6379
1969/3/25,14.7095
1969/3/26,14.7812
1969/3/27,14.8647
1969/3/28,14.9961
1969/4/1,14.9483
1969/4/2,14.8528
1969/4/3,14.8409
1969/4/7,14.6737
1969/4/8,14.6379
1969/4/9,14.9006
1969/4/10,14.9841
1969/4/11,14.9125
1969/4/14,14.7692
1969/4/15,14.8289
1969/4/16,14.7453
1969/4/17,14.6498
1969/4/18,14.7215
1969/4/21,14.7095
1969/4/22,14.9244
1969/4/23,14.8647
1969/4/24,15.0677
1969/4/25,15.1752
1969/4/28,15.4856
1969/4/29,15.6289
1969/4/30,15.6647
1969/5/1,15.5453
1969/5/2,15.5931
1969/5/5,15.6408
1969/5/6,15.8318
1969/5/7,15.7124
1969/5/8,15.7483
1969/5/9,15.6169
1969/5/12,15.5931
1969/5/13,15.8318
1969/5/14,15.9512
1969/5/15,15.7602
1969/5/16,15.7841
1969/5/19,15.4856
1969/5/20,15.2587
1969/5/21,15.402
1969/5/22,15.414
1969/5/23,15.6169
1969/5/26,15.6169
1969/5/27,15.3901
1969/5/28,15.3662
1969/5/29,15.2349
1969/6/2,15.2587
1969/6/3,15.1871
1969/6/4,15.2349
1969/6/5,15.1871
1969/6/6,15.0438
1969/6/9,14.9125
1969/6/10,14.817
1969/6/11,14.7812
1969/6/12,14.7095
1969/6/13,14.8767
1969/6/16,14.9722
1969/6/17,15.008
1969/6/18,15.008
1969/6/19,14.9961
1969/6/20,14.9125
1969/6/23,15.0677
1969/6/24,15.5453
1969/6/25,15.3065
1969/6/26,15.7483
1969/6/27,15.8318
1969/6/30,16.1303
1969/7/1,16.1184
1969/7/2,16.6199
1969/7/3,16.7751
1969/7/7,16.6199
1969/7/8,16.0468
1969/7/9,15.9274
1969/7/10,15.6169
1969/7/11,15.8318
1969/7/14,15.3543
1969/7/15,15.4498
1969/7/16,15.6886
1969/7/17,15.6408
1969/7/18,15.4259
1969/7/22,15.199
1969/7/23,15.2946
1969/7/24,15.1393
1969/7/25,15.1155
1969/7/28,14.9543
1969/7/29,14.9483
1969/7/30,15.0677
1969/7/31,15.4975
1969/8/1,15.7363
1969/8/4,15.605
1969/8/5,15.9751
1969/8/6,16.0468
1969/8/7,15.9393
1969/8/8,15.9274
1969/8/11,15.7244
1969/8/12,15.7841
1969/8/13,15.999
1969/8/14,16.1781
1969/8/15,16.2139
1969/8/18,16.2975
1969/8/19,16.3333
1969/8/20,16.5661
1969/8/21,16.6676
1969/8/22,16.7273
1969/8/25,16.2855
1969/8/26,16.2378
1969/8/27,16.3691
1969/8/28,16.6199
1969/8/29,16.4766
1969/9/2,16.4049
1969/9/3,16.2736
1969/9/4,16.2497
1969/9/5,16.1423
1969/9/8,16.0109
1969/9/9,16.1662
1969/9/10,16.6437
1969/9/11,16.4049
1969/9/12,16.5005
1969/9/15,16.4288
1969/9/16,16.5602
1969/9/17,16.5721
1969/9/18,16.6437
1969/9/19,16.7631
1969/9/22,17.1213
1969/9/23,17.0616
1969/9/24,17.0497
1969/9/25,16.6079
1969/9/26,16.5482
1969/9/29,16.5363
1969/9/30,16.4885
1969/10/1,16.4049
1969/10/2,16.4527
1969/10/3,16.4646
1969/10/6,16.6437
1969/10/7,16.5243
1969/10/8,16.3094
1969/10/9,16.5721
1969/10/10,16.5482
1969/10/13,16.584
1969/10/14,16.8586
1969/10/15,16.9064
1969/10/16,16.7989
1969/10/17,16.7631
1969/10/20,16.8586
1969/10/21,17.0497
1969/10/22,16.978
1969/10/23,17.0258
1969/10/24,17.384
1969/10/27,17.3601
1969/10/28,17.2646
1969/10/29,17.0139
1969/10/30,17.1691
1969/10/31,17.2168
1969/11/3,17.1691
1969/11/4,17.1691
1969/11/5,17.2168
1969/11/6,17.2168
1969/11/7,17.4317
1969/11/10,17.5153
1969/11/11,17.5631
1969/11/12,17.5273
1969/11/13,17.4079
1969/11/14,17.3362
1969/11/17,17.3123
1969/11/18,17.3482
1969/11/19,17.1452
1969/11/20,16.9422
1969/11/21,16.7631
1969/11/24,16.5124
1969/11/25,16.5363
1969/11/26,16.7154
1969/11/28,17.0497
1969/12/1,17.193
1969/12/2,17.0019
1969/12/3,16.9601
1969/12/4,17.0497
1969/12/5,17.0497
1969/12/8,16.978
1969/12/9,17.0019
1969/12/10,16.978
1969/12/11,16.978
1969/12/12,17.1691
1969/12/15,17.0974
1969/12/16,16.8706
1969/12/17,16.787
1969/12/18,17.2049
1969/12/19,17.5034
1969/12/22,17.2168
1969/12/23,16.787
1969/12/24,16.9542
1969/12/26,17.2407
1969/12/29,17.1094
1969/12/30,17.1691
1969/12/31,17.4079
1970/1/2,17.4198
1970/1/5,17.587
1970/1/6,17.5989
1970/1/7,17.6108
1970/1/8,17.6467
1970/1/9,17.6228
1970/1/12,17.5631
1970/1/13,17.8675
1970/1/14,17.8496
1970/1/15,18.2198
1970/1/16,17.6586
1970/1/19,16.7154
1970/1/20,17.0258
1970/1/21,16.9542
1970/1/22,17.0019
1970/1/23,17.0019
1970/1/26,16.6437
1970/1/27,16.4885
1970/1/28,16.2855
1970/1/29,16.1662
1970/1/30,16.0109
1970/2/2,16.3811
1970/2/3,16.393
1970/2/4,16.1662
1970/2/5,16.1781
1970/2/6,16.4646
1970/2/9,16.7034
1970/2/10,16.5243
1970/2/11,16.9542
1970/2/12,16.8109
1970/2/13,16.6676
1970/2/16,16.6796
1970/2/17,16.7034
1970/2/18,16.7751
1970/2/19,16.8109
1970/2/20,16.6915
1970/2/24,16.4527
1970/2/25,16.4766
1970/2/26,16.4408
1970/2/27,16.2497
1970/3/2,16.0229
1970/3/3,15.9154
1970/3/4,15.7483
1970/3/5,15.7244
1970/3/6,15.5334
1970/3/9,15.1274
1970/3/10,15.5931
1970/3/11,15.6886
1970/3/12,15.7005
1970/3/13,15.4856
1970/3/16,15.2826
1970/3/17,15.402
1970/3/18,15.3901
1970/3/19,15.396
1970/3/20,15.2707
1970/3/23,15.3781
1970/3/24,15.6647
1970/3/25,15.9035
1970/3/26,15.9154
1970/3/30,16.0826
1970/3/31,16.1662
1970/4/1,16.1303
1970/4/2,15.8557
1970/4/3,15.5931
1970/4/6,15.3065
1970/4/7,15.2826
1970/4/8,15.4737
1970/4/9,15.5572
1970/4/10,15.8318
1970/4/13,15.6169
1970/4/14,15.5095
1970/4/15,15.4378
1970/4/16,15.3184
1970/4/17,15.402
1970/4/20,15.4975
1970/4/21,15.3304
1970/4/22,14.9483
1970/4/23,14.7871
1970/4/24,14.7573
1970/4/27,14.3991
1970/4/28,13.8618
1970/4/29,14.3394
1970/4/30,14.2319
1970/5/1,14.1722
1970/5/4,13.5156
1970/5/5,13.5156
1970/5/6,13.7305
1970/5/7,13.8379
1970/5/8,13.8738
1970/5/11,13.635
1970/5/12,13.4917
1970/5/13,13.1335
1970/5/14,12.8231
1970/5/15,12.9305
1970/5/18,12.8947
1970/5/19,12.3455
1970/5/20,11.9634
1970/5/21,11.7246
1970/5/22,11.844
1970/5/25,11.5097
1970/5/26,11.5575
1970/5/27,12.3694
1970/5/28,12.7514
1970/5/29,13.2768
1970/6/1,13.7066
1970/6/2,13.5156
1970/6/3,13.5156
1970/6/4,12.9544
1970/6/5,12.8947
1970/6/8,12.7156
1970/6/9,12.8111
1970/6/10,12.6798
1970/6/11,12.3813
1970/6/12,12.3694
1970/6/15,12.3694
1970/6/16,12.9425
1970/6/17,12.6917
1970/6/18,12.9902
1970/6/19,12.9067
1970/6/22,12.8231
1970/6/23,12.2798
1970/6/24,12.1783
1970/6/25,12.3216
1970/6/26,12.2977
1970/6/29,12.2977
1970/6/30,11.9396
1970/7/1,12.1306
1970/7/2,11.9754
1970/7/6,11.6769
1970/7/7,11.5814
1970/7/8,12.0589
1970/7/9,12.1425
1970/7/10,11.9515
1970/7/13,11.8321
1970/7/14,11.9992
1970/7/15,12.0351
1970/7/16,12.1306
1970/7/17,12.3933
1970/7/20,12.3216
1970/7/21,12.3097
1970/7/22,12.1306
1970/7/23,12.2739
1970/7/24,12.1186
1970/7/27,12.0948
1970/7/28,12.0709
1970/7/29,12.0589
1970/7/30,12.1067
1970/7/31,12.047
1970/8/3,11.9037
1970/8/4,11.9515
1970/8/5,11.9276
1970/8/6,11.8679
1970/8/7,11.7246
1970/8/10,11.4858
1970/8/11,11.3784
1970/8/12,11.0142
1970/8/13,10.6501
1970/8/14,10.9784
1970/8/17,11.2351
1970/8/18,11.45
1970/8/19,11.45
1970/8/20,11.6888
1970/8/21,11.9037
1970/8/24,12.5485
1970/8/25,12.6082
1970/8/26,12.5962
1970/8/27,12.6679
1970/8/28,12.9544
1970/8/31,12.7156
1970/9/1,12.6022
1970/9/2,12.6082
1970/9/3,12.8828
1970/9/4,12.9902
1970/9/8,13.1335
1970/9/9,13.038
1970/9/10,12.8111
1970/9/11,12.835
1970/9/14,12.7037
1970/9/15,12.7216
1970/9/16,12.9425
1970/9/17,13.2051
