Date,Last Price
07/08/2024,5572.85
07/05/2024,5567.19
07/03/2024,5537.02
07/02/2024,5509.01
07/01/2024,5475.09
6/28/2024,5460.48
6/27/2024,5482.87
6/26/2024,5477.9
6/25/2024,5469.3
6/24/2024,5447.87
6/21/2024,5464.62
6/20/2024,5473.17
6/18/2024,5487.03
6/17/2024,5473.23
6/14/2024,5431.6
6/13/2024,5433.74
06/12/2024,5421.03
06/11/2024,5375.32
06/10/2024,5360.79
06/07/2024,5346.99
06/06/2024,5352.96
06/05/2024,5354.03
06/04/2024,5291.34
06/03/2024,5283.4
5/31/2024,5277.51
5/30/2024,5235.48
5/29/2024,5266.95
5/28/2024,5306.04
5/24/2024,5304.72
5/23/2024,5267.84
5/22/2024,5307.01
5/21/2024,5321.41
5/20/2024,5308.13
5/17/2024,5303.27
5/16/2024,5297.1
5/15/2024,5308.15
5/14/2024,5246.68
5/13/2024,5221.42
05/10/2024,5222.68
05/09/2024,5214.08
05/08/2024,5187.67
05/07/2024,5187.7
05/06/2024,5180.74
05/03/2024,5127.79
05/02/2024,5064.2
05/01/2024,5018.39
4/30/2024,5035.69
4/29/2024,5116.17
4/26/2024,5099.96
4/25/2024,5048.42
4/24/2024,5071.63
4/23/2024,5070.55
4/22/2024,5010.6
4/19/2024,4967.23
4/18/2024,5011.12
4/17/2024,5022.21
4/16/2024,5051.41
4/15/2024,5061.82
04/12/2024,5123.41
04/11/2024,5199.06
04/10/2024,5160.64
04/09/2024,5209.91
04/08/2024,5202.39
04/05/2024,5204.34
04/04/2024,5147.21
04/03/2024,5211.49
04/02/2024,5205.81
04/01/2024,5243.77
3/28/2024,5254.35
3/27/2024,5248.49
3/26/2024,5203.58
3/25/2024,5218.19
3/22/2024,5234.18
3/21/2024,5241.53
3/20/2024,5224.62
3/19/2024,5178.51
3/18/2024,5149.42
3/15/2024,5117.09
3/14/2024,5150.48
3/13/2024,5165.31
03/12/2024,5175.27
03/11/2024,5117.94
03/08/2024,5123.69
03/07/2024,5157.36
03/06/2024,5104.76
03/05/2024,5078.65
03/04/2024,5130.95
03/01/2024,5137.08
2/29/2024,5096.27
2/28/2024,5069.76
2/27/2024,5078.18
2/26/2024,5069.53
2/23/2024,5088.8
2/22/2024,5087.03
2/21/2024,4981.8
2/20/2024,4975.51
2/16/2024,5005.57
2/15/2024,5029.73
2/14/2024,5000.62
2/13/2024,4953.17
02/12/2024,5021.84
02/09/2024,5026.61
02/08/2024,4997.91
02/07/2024,4995.06
02/06/2024,4954.23
02/05/2024,4942.81
02/02/2024,4958.61
02/01/2024,4906.19
1/31/2024,4845.65
1/30/2024,4924.97
1/29/2024,4927.93
1/26/2024,4890.97
1/25/2024,4894.16
1/24/2024,4868.55
1/23/2024,4864.6
1/22/2024,4850.43
1/19/2024,4839.81
1/18/2024,4780.94
1/17/2024,4739.21
1/16/2024,4765.98
01/12/2024,4783.83
01/11/2024,4780.24
01/10/2024,4783.45
01/09/2024,4756.5
01/08/2024,4763.54
01/05/2024,4697.24
01/04/2024,4688.68
01/03/2024,4704.81
01/02/2024,4742.83
12/29/2023,4769.83
12/28/2023,4783.35
12/27/2023,4781.58
12/26/2023,4774.75
12/22/2023,4754.63
12/21/2023,4746.75
12/20/2023,4698.35
12/19/2023,4768.37
12/18/2023,4740.56
12/15/2023,4719.19
12/14/2023,4719.55
12/13/2023,4707.09
12/12/2023,4643.7
12/11/2023,4622.44
12/08/2023,4604.37
12/07/2023,4585.59
12/06/2023,4549.34
12/05/2023,4567.18
12/04/2023,4569.78
12/01/2023,4594.63
11/30/2023,4567.8
11/29/2023,4550.58
11/28/2023,4554.89
11/27/2023,4550.43
11/24/2023,4559.34
11/22/2023,4556.62
11/21/2023,4538.19
11/20/2023,4547.38
11/17/2023,4514.02
11/16/2023,4508.24
11/15/2023,4502.88
11/14/2023,4495.7
11/13/2023,4411.55
11/10/2023,4415.24
11/09/2023,4347.35
11/08/2023,4382.78
11/07/2023,4378.38
11/06/2023,4365.98
11/03/2023,4358.34
11/02/2023,4317.78
11/01/2023,4237.86
10/31/2023,4193.8
10/30/2023,4166.82
10/27/2023,4117.37
10/26/2023,4137.23
10/25/2023,4186.77
10/24/2023,4247.68
10/23/2023,4217.04
10/20/2023,4224.16
10/19/2023,4278
10/18/2023,4314.6
10/17/2023,4373.2
10/16/2023,4373.63
10/13/2023,4327.78
10/12/2023,4349.61
10/11/2023,4376.95
10/10/2023,4358.24
10/09/2023,4335.66
10/06/2023,4308.5
10/05/2023,4258.19
10/04/2023,4263.75
10/03/2023,4229.45
10/02/2023,4288.39
9/29/2023,4288.05
9/28/2023,4299.7
9/27/2023,4274.51
9/26/2023,4273.53
9/25/2023,4337.44
9/22/2023,4320.06
9/21/2023,4330
9/20/2023,4402.2
9/19/2023,4443.95
9/18/2023,4453.53
9/15/2023,4450.32
9/14/2023,4505.1
9/13/2023,4467.44
09/12/2023,4461.9
09/11/2023,4487.46
09/08/2023,4457.49
09/07/2023,4451.14
09/06/2023,4465.48
09/05/2023,4496.83
09/01/2023,4515.77
8/31/2023,4507.66
8/30/2023,4514.87
8/29/2023,4497.63
8/28/2023,4433.31
8/25/2023,4405.71
8/24/2023,4376.31
8/23/2023,4436.01
8/22/2023,4387.55
8/21/2023,4399.77
8/18/2023,4369.71
8/17/2023,4370.36
8/16/2023,4404.33
8/15/2023,4437.86
8/14/2023,4489.72
08/11/2023,4464.05
08/10/2023,4468.83
08/09/2023,4467.71
08/08/2023,4499.38
08/07/2023,4518.44
08/04/2023,4478.03
08/03/2023,4501.89
08/02/2023,4513.39
08/01/2023,4576.73
7/31/2023,4588.96
7/28/2023,4582.23
7/27/2023,4537.41
7/26/2023,4566.75
7/25/2023,4567.46
7/24/2023,4554.64
7/21/2023,4536.34
7/20/2023,4534.87
7/19/2023,4565.72
7/18/2023,4554.98
7/17/2023,4522.79
7/14/2023,4505.42
7/13/2023,4510.04
07/12/2023,4472.16
07/11/2023,4439.26
07/10/2023,4409.53
07/07/2023,4398.95
07/06/2023,4411.59
07/05/2023,4446.82
07/03/2023,4455.59
6/30/2023,4450.38
6/29/2023,4396.44
6/28/2023,4376.86
6/27/2023,4378.41
6/26/2023,4328.82
6/23/2023,4348.33
6/22/2023,4381.89
6/21/2023,4365.69
6/20/2023,4388.71
6/16/2023,4409.59
6/15/2023,4425.84
6/14/2023,4372.59
6/13/2023,4369.01
06/12/2023,4338.93
06/09/2023,4298.86
06/08/2023,4293.93
06/07/2023,4267.52
06/06/2023,4283.85
06/05/2023,4273.79
06/02/2023,4282.37
06/01/2023,4221.02
5/31/2023,4179.83
5/30/2023,4205.52
5/26/2023,4205.45
5/25/2023,4151.28
5/24/2023,4115.24
5/23/2023,4145.58
5/22/2023,4192.63
5/19/2023,4191.98
5/18/2023,4198.05
5/17/2023,4158.77
